country,region,income_level,platform_name,domain,website_url,app_link,platform_format,platform_type,platform_classification,tier,tier_label,target_audience,accessible_without_account,offline_functionality,mobile_compatible,working_links,regularly_updated,interactive_content,fln_resources,accessible_for_disabilities,available_languages,national_languages_covered,available,has_url,generic_hosting,notes
Mongolia,East Asia & Pacific,Lower middle income,Mongolian Education Learning System (MEDLE) - app,,,https://play.google.com/store/apps/details?id=esis.econtent,resource hub,,unknown,1,Tier 1,students and teachers,yes,no,yes,yes,unknown,no,yes,yes,Mongolian,yes,True,False,False,
Montenegro,Europe & Central Asia,Upper middle income,UCI DOMA,ucidoma.me,https://www.ucidoma.me/,,resource hub,,national,1,Tier 1,students,yes,yes,no,yes,no,yes,yes,no,Montenegrin,yes,True,True,False,"- The video content can be downloaded for offline viewing 
- The platform failed the Google Mobile Friendly Test, but worked fine on the simulator plugin
- FLN content can be found here"
Montenegro,Europe & Central Asia,Upper middle income,Digital Naskola,digitalnaskola.edu.me,https://www.digitalnaskola.edu.me/,,unknown,Learning Passport,national,1,Tier 1,students and teachers,no,no,yes,yes,unknown,unknown,unknown,unknown,"Montenegrin, English",yes,True,True,False,"- Need a Microsoft Account provided to students, teachers and partens by the government to access content. 
- Seems to be built based on Microsoft 360 and Teams.
- Collaboration with UNICEF Learning Passport."
Montenegro,Europe & Central Asia,Upper middle income,Skolski Portal,skolskiportal.edu.me,http://www.skolskiportal.edu.me/Pages/Default.aspx,,resource hub,,national,1,Tier 1,students and teachers,yes,no,no,yes,yes,yes,yes,no,Montenegrin,yes,True,True,False,"- As per the Google Mobile Friendly Test as well as the smartphone simulator plugin, this does not run on a basic smartphone.
- News articles and announcements are regularly updated, but the published content arent timestamped
- FLN content can be found here "
Morocco,Middle East & North Africa,Lower middle income,ABHATOO ,abhatoo.net.ma,http://www.abhatoo.net.ma/e-soutien-scolaire/,,resource hub,,national,1,Tier 1,students,yes,no,no,yes,yes,yes,yes,no,French,no,True,True,False,"For an FLN example, see this."
Morocco,Middle East & North Africa,Lower middle income,TelmidTice ,soutiensco.men.gov.ma,https://soutiensco.men.gov.ma/,,resource hub,,national,1,Tier 1,students,yes,no,no,yes,yes,no,unknown,no,"Arabic
French",no,True,True,False,
Morocco,Middle East & North Africa,Lower middle income,e-takwine-tanmia,e-takwine-tanmia.men.gov.ma,https://e-takwine-tanmia.men.gov.ma/,,LMS,,national,1,Tier 1,teachers,no,unknown,yes,unknown,unknown,unknown,unknown,unknown,Arabic,no,True,True,False,
Morocco,Middle East & North Africa,Lower middle income,douroussi,douroussi.ma,http://douroussi.ma/,,unknown,,national,1,Tier 1,unknown,no,unknown,no,unknown,unknown,unknown,no,unknown,Arabic,no,True,True,False,
Morocco,Middle East & North Africa,Lower middle income,Massar Moudaris,,,https://play.google.com/store/apps/details?id=ma.gov.men.massar.professeur,unknown,,unknown,1,Tier 1,teachers,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Unknown,unknown,False,False,False,App cannot be found on the store using  a mobile phone.
Morocco,Middle East & North Africa,Lower middle income,Massar Moutamadris,,,https://play.google.com/store/apps/details?id=ma.gov.men.massar.eleve,unknown,,unknown,1,Tier 1,students,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Unknown,unknown,False,False,False,App cannot be found on the store using a mobile phone.
